name,target_score,avoid_score,total_score,military_score,american_wars_score,revolutionary war_score,war of 1812_score,cold war_score,jackson_score,geopolitics_score,early_america_score,economic_score,decolonization_score,critical_theory_score,social_issues_score,economic_systems_score,cultural_studies_score,environmental_score,migration_score,transnational_score,indigenous_score,african_score,rousseau_score,empire_studies_score,post-wwii_score,1960s_score,islam_score,school
Sarah Balakrishnan,0.522335917991635,-0.8088381639693011,-0.28650224597766605,0.5230129309473268,0.41989562927020924,0.46851446258098595,0.4420696836348736,0.5588283021748066,0.4745572767560444,0.6377829719867025,0.6105181476679342,0.4765326564510664,-0.8369520917534828,-0.7890846447122319,-0.8753596870228648,-0.9035976808518171,-0.7519586261199869,-0.5497013483941555,-0.6700203590095043,-0.9463437292724848,-0.9042502585798502,-0.9879032261669636,-0.677666353832545,-0.9893450066447258,-0.5176283247572812,-0.6930203875526786,-0.5993389148886006,duke
Edward J. Balleisen,0.5803427334843173,-0.7087590690217661,-0.1284163355374488,0.453190895229578,0.5132847475012144,0.6134809706439981,0.529171458631754,0.5578935000631545,0.4585934662995229,0.5904239301170622,0.6178393871916665,0.7615848049521446,-0.6346252510945003,-0.8136282546652687,-0.6759554396220853,-0.9305158462375402,-0.8571583982557058,-0.5748037017354577,-0.5848889179993421,-0.8830350190401077,-0.5558832715785897,-0.6511541304411367,-0.7289620264793722,-0.6882961513474584,-0.5770888570696115,-0.6356939314864576,-0.4799524622540625,duke
Nicole Elizabeth Barnes,0.44090973036705927,-0.5789654210112279,-0.13805569064416867,0.4643101740461938,0.36840248442990614,0.3977982300839894,0.31214074243072953,0.539145542042596,0.37383934566796106,0.5898755152310644,0.41642821805736036,0.3478304173797369,-0.5253935742325017,-0.5620232721202084,-0.7935706009822232,-0.5559236739895174,-0.5282202211519083,-0.4890220951185459,-0.6079573579132557,-0.6583138043907556,-0.4770793684927577,-0.44654600087863705,-0.5411736457581409,-0.6088827500740688,-0.49712633341550827,-0.7082628152732339,-0.44434757401338887,duke
Juliana Barr,0.4947961748886364,-0.6477747557838202,-0.15297858089518374,0.4453758656481902,0.39078422456979756,0.5127393970237578,0.4089892063267303,0.396730640127463,0.42818248623183797,0.43578785974047995,0.7666214668456419,0.4331748449466735,-0.553783455863595,-0.639419695287943,-0.9663037788122892,-0.5320678136444518,-0.5356513651257212,-0.5393161391839385,-0.6260954378172755,-0.5785871387148898,-0.8687728624790907,-0.6647010129876435,-0.5151558780120779,-0.6304039663324754,-0.4683568011969328,-0.646512624497215,-0.5454519574663469,duke
Dirk Bonker,0.5160442696251555,-0.6303355207205862,-0.1142912510954307,0.7957939147949219,0.5369710022644563,0.42283053004054494,0.377627387881279,0.4308449281255404,0.3908256916837259,0.5938849801386258,0.4044866275929269,0.35257590607429545,-0.5385212954133749,-0.6500617322822413,-0.47526815181065885,-0.6195155034827835,-0.7182495705783367,-0.47836228170328676,-0.6325427837669849,-0.8029795024544001,-0.42812633617625884,-0.5003332435153425,-0.4528070916266491,-0.9661586228758097,-0.5668231882154942,-0.6283191076169412,-0.49035878592569915,duke
James Gregory Chappel,0.5321346222629807,-0.721111771387855,-0.1889771491248743,0.5494673492375506,0.4718142789933417,0.5266117470666072,0.4047563220028367,0.5504713319242001,0.5761660496916687,0.5893244740154062,0.6065534627089253,0.43894876701136437,-0.5927422475069761,-0.7518171836892442,-0.9054609965533018,-0.8989903349429369,-0.6981329843401909,-0.5929734473050173,-0.6233277659863233,-0.7735972909463775,-0.5968279151300735,-0.6322209449484945,-0.6234475418825374,-0.6051114803800981,-0.9161400627344847,-0.7416944444179535,-0.5504620570092983,duke
Calvin Ryan Cheung-Miaw,0.48969376813631993,-0.7248684410862682,-0.23517467294994832,0.4822473663478703,0.4337186358846052,0.49691342941932864,0.3710321852139064,0.44207773336342404,0.42466420219703155,0.6391875256385122,0.5686620866968518,0.4357999299963316,-0.577763970675213,-0.9269294962286949,-0.9407900292426348,-0.6241918686789528,-0.9390645772218704,-0.4670875509166056,-0.6776118673384189,-0.9241728689521551,-0.6239870470017195,-0.6588546378538013,-0.5874038986965187,-0.5985540430992842,-0.5358319226652384,-0.7217141773019519,-0.5114787441811391,duke
Hannah Conway,0.5092608507040155,-0.7072589206757693,-0.19799806997175384,0.5270348992198706,0.3888653009835662,0.5248659383942128,0.3602055520386923,0.5152811858389114,0.4999768094823819,0.43376714881339107,0.6136719249032792,0.5981401214169131,-0.6303729719171922,-0.7443105804762153,-0.6963651078974917,-0.8182257420849055,-0.5626721530172386,-0.9407098889350891,-0.6504426453262567,-0.5898276433969538,-0.9731105081737041,-0.7082859478890896,-0.5519279904261816,-0.689648412168026,-0.4865544345229864,-0.6578249690522041,-0.4487497671174684,duke
Prasenjit Duara,0.4564413888199598,-0.7117603253636662,-0.25531893654370635,0.4639742521406365,0.4299264467639082,0.3892485277342891,0.38821138787767845,0.45224415554719816,0.5121374998902861,0.5046258560273682,0.4258088254868383,0.5015960519512495,-0.9777085781097412,-0.7003623130066055,-0.5354519570722678,-0.5117625600791403,-0.7928613252937794,-0.5346586133486458,-0.6436420859768986,-0.9571808129549026,-0.832871828566898,-0.6014204580957692,-0.5245692597871477,-0.6482251635329289,-0.6822485613326232,-0.6859106078211751,-0.5870157955830807,duke
Katharine Brophy Dubois,0.4627274005628699,-0.6273645926102259,-0.16463719204735605,0.4381776422496353,0.33453120371865847,0.4557048617910456,0.31616884244233373,0.49464563779119,0.42524226382374763,0.44426330803268155,0.47461829158800106,0.6306389585137367,-0.6451712636785073,-0.6776219192527224,-0.8806059947237372,-0.5448725132271648,-0.7679405115544796,-0.5363492431739967,-0.6640997551381588,-0.49906586735908476,-0.6272063540915649,-0.4774126047799227,-0.5643336039149399,-0.6207485124468803,-0.5147448179445097,-0.5811210765192907,-0.5406172617471644,duke
John Freeman,0.4399168404337968,-0.6445628512316498,-0.204646010797853,0.5202748656272889,0.39514940997970066,0.40210539387948463,0.32213799809068444,0.3860161801427603,0.4040269470049276,0.5870583985533033,0.40808630543304425,0.41826229238261786,-0.6151198924829562,-0.6097501393167242,-0.6382846107174244,-0.5046069050032846,-0.7675488065928221,-0.4882625915000544,-0.6489504337310791,-0.7054814981296659,-0.9188237752426754,-0.571133161118875,-0.5865972631158052,-0.6811841807017724,-0.46209610626101494,-0.6226938540736835,-0.5478008920609048,duke
John D. French,0.55998631022228,-0.7408159361403023,-0.18082962591802232,0.6844119928777218,0.4822614646802991,0.5565456296152074,0.43761374859767305,0.5424537882208824,0.4836154760525685,0.636294830271176,0.646019946038723,0.44880898737659064,-0.6948120389133692,-0.7977161702734454,-0.9212041292339563,-0.6206956723971025,-0.739812632650137,-0.8001537546515465,-0.6296520609408617,-0.8986219316720963,-0.6681013889610767,-0.867500907741487,-0.650062469465808,-0.7375177685171366,-0.6341727400819461,-0.6512550750215139,-0.5695953049977858,duke
Barry Gaspar,0.515507283814683,-0.7116469599271107,-0.19613967611242766,0.5156873668274755,0.3771793815592925,0.570176996958186,0.34586099016633026,0.576226718723774,0.509156610357641,0.5223119761155111,0.6327300285299619,0.44891308316340056,-0.7940982334315777,-0.6517791556702418,-0.6550308919201295,-0.5718312689236232,-0.7439427595585585,-0.4864918490250905,-0.6621995218098163,-0.6891391929239035,-0.8624896761029959,-0.6905052624642849,-0.8011243283063516,-0.9363758768886328,-0.5927727650851011,-0.6979432366788387,-0.5385048354044557,duke
Thavolia Glymph,0.5225150827244186,-0.6968496314575902,-0.17433454873317156,0.6062391657164793,0.4834715984644312,0.5802984144952563,0.4512626420174327,0.5549000687897205,0.4655106455087662,0.4606135611979392,0.6118550436033143,0.3932136145730814,-0.6095597110688686,-0.6763767308245103,-0.9304631426930428,-0.5334257306531072,-0.8087718968163244,-0.4628915000898165,-0.5696307281119516,-0.7984643634408712,-0.5839892753089468,-0.8025806578807533,-0.5555721344426274,-0.861464349552989,-0.5821022104471922,-0.7441697389903394,-0.4775888347903404,duke
Malachi H. Hacohen,0.5256606190022302,-0.677837801986198,-0.15217718298396787,0.4692726574093103,0.49594326696278623,0.43880310795947236,0.4086860416953272,0.7131283447146416,0.4937427078684172,0.636243642171224,0.45258022970623446,0.4652806108196577,-0.5940039163536353,-0.7834637109190226,-0.6402986047139008,-0.6426604895019218,-0.7541669584810734,-0.515308839351158,-0.6260918289422989,-0.7342393323779106,-0.6691940704826266,-0.6903322605416179,-0.6455967079197602,-0.8988996054977179,-0.6031379189342261,-0.6355093815363944,-0.5311218939941985,duke
Evan Hepler-Smith,0.4574966640787249,-0.6646175900415312,-0.2071209259628063,0.5230546955239415,0.4807019326149249,0.43476322223366515,0.3575234417668121,0.5280132573097944,0.3856768500794957,0.4754821396619081,0.384804427558274,0.47853433315952626,-0.5620887965584795,-0.6075627445242725,-0.6459252754342742,-0.7356458515743726,-0.8311473887879401,-0.880626623518765,-0.5823223047424108,-0.8755083726719022,-0.5994100684765726,-0.5049397895003067,-0.584774470586144,-0.6126883002580144,-0.5432134605944157,-0.5580548636304836,-0.4766495195306128,duke
Margaret Ellen Humphreys,0.4632770384998856,-0.5359419072150227,-0.07266486871513705,0.4354719588160515,0.4254887804720137,0.5060111104732469,0.3805127157491796,0.5219212760446768,0.3671207224967934,0.4328224951028824,0.585616015620304,0.426428729419907,-0.4663160820491612,-0.5059184649338324,-0.5421006998047233,-0.4934765419124493,-0.4476761739504965,-0.44942744118290856,-0.6091279651969671,-0.46560968885100207,-0.5953599392835583,-0.6663887743838132,-0.40876632377076594,-0.5544951558113098,-0.558937293663621,-0.658578319341139,-0.4394990747126815,duke
Reeve Huston,0.5473528079662694,-0.7487093841333373,-0.20135657616706792,0.47249984082011953,0.41061524559097756,0.598375641829006,0.4961940084894499,0.4403804199397564,0.6652751923653117,0.6085813079561506,0.6330582911438413,0.46965039869149533,-0.5927238610706159,-0.6797677694509427,-0.9138991609215736,-0.9573726747184992,-0.9018756188452244,-0.5878997328857493,-0.6249335337430239,-0.8719173790886998,-0.8705122414976358,-0.8066249861149117,-0.6566369880576992,-0.6188877858221531,-0.5201664995402098,-0.6244148729989927,-0.5733573689746361,duke
Anna Krylova,0.593700674354773,-0.7965820530527976,-0.20288137869802458,0.6654312095084748,0.574077715931646,0.5334663250519518,0.42614241982499756,0.8039405882358551,0.4167735838002027,0.6308633644665991,0.5631278010351317,0.528540127310488,-0.9428319726139307,-1.0186785757541656,-0.918958468362689,-0.9715991206467152,-0.935814093798399,-0.5329170124605298,-0.6033738468773663,-0.7026199856773019,-0.6101238743456847,-0.6724690069444478,-0.6818813134533901,-0.9087990894913673,-0.6710447549819947,-0.6746841847364392,-0.609826148510766,duke
Mélanie Aimée Marie Lamotte,0.3121710100612059,-0.46536500452725527,-0.15319399446604937,0.30869868136942386,0.24660499098692454,0.3054153569798192,0.18270213831273946,0.30585081300565176,0.2605248905195281,0.397041064123436,0.26982180641129105,0.4019289404153824,-0.475682376883924,-0.5064187570661307,-0.4540620480441316,-0.4742094126663038,-0.46710630040615797,-0.4729885225080782,-0.6170662235468626,-0.44935499876737595,-0.41177889050039296,-0.37640056396938026,-0.40884819975483466,-0.44819666685438475,-0.32354847279687726,-0.5846455597008269,-0.2650481385819833,duke
Adriane D. Lentz-Smith,0.5580951189711367,-0.7601368310484207,-0.20204171207728394,0.5282350379064973,0.7115020915865898,0.5916359805398518,0.46339435802264656,0.603932494665283,0.4682194054331443,0.44807955239761127,0.6347992027941204,0.4324555921911573,-0.5917935857066402,-1.0001000128686428,-0.9644329193979502,-0.6782154035456236,-0.8123352289328288,-0.5037200031802058,-0.6159829556941986,-0.8909304644912481,-0.6020348562548559,-0.8512265393510461,-0.5866610826809465,-0.6324791020403306,-0.6095852136611939,-0.9598517250269651,-0.527995261097593,duke
Justin Leroy,0.3121710100612059,-0.46536500452725527,-0.15319399446604937,0.30869868136942386,0.24660499098692454,0.3054153569798192,0.18270213831273946,0.30585081300565176,0.2605248905195281,0.397041064123436,0.26982180641129105,0.4019289404153824,-0.475682376883924,-0.5064187570661307,-0.4540620480441316,-0.4742094126663038,-0.46710630040615797,-0.4729885225080782,-0.6170662235468626,-0.44935499876737595,-0.41177889050039296,-0.37640056396938026,-0.40884819975483466,-0.44819666685438475,-0.32354847279687726,-0.5846455597008269,-0.2650481385819833,duke
Nancy MacLean,0.5392302758224202,-0.6990410642453849,-0.1598107884229647,0.5450683079659939,0.4335161638044649,0.5682016116664523,0.4184212887199152,0.5717923119664192,0.5664515227079392,0.615694392153195,0.6003072348852007,0.4475048740704855,-0.6054842364788056,-0.8339471630752087,-0.90256985463202,-0.7513779876453263,-0.9014574456959963,-0.5124777445611968,-0.6013157473877072,-0.6831203075125813,-0.6904540728777647,-0.6222785572521389,-0.6531499416717599,-0.6123454632858436,-0.591579481959343,-0.6968253329396248,-0.5166638743866122,duke
Jehangir Malegam,0.3855789973094479,-0.5547461491225355,-0.1691671518130876,0.4461575776958921,0.3575057250322306,0.3836813758918022,0.3225286982357502,0.3138990642768996,0.4029343856587764,0.43572762950015675,0.342760972733299,0.4154384394486746,-0.5323914194648917,-0.5569354258477688,-0.4926229405349919,-0.5577433248981833,-0.7248963374644518,-0.5312603171914816,-0.6399356503039598,-0.460097529925406,-0.4996145695447922,-0.4237697084899992,-0.4355020532153847,-0.5771898059174418,-0.446401482714074,-0.7027534209191799,-0.5245472953787872,duke
Cecilia Marquez,0.49017972543045013,-0.7183929298646744,-0.22821320443422427,0.4328245504640296,0.3678316576513005,0.5808776756579226,0.37858265367292215,0.41267727545517335,0.4594873237543636,0.5010595600306987,0.6766191601753235,0.4293394021069011,-0.6993428568045299,-0.7176779857413335,-0.9626226704567671,-0.6825875821533383,-0.7548368346123469,-0.4668039619240777,-0.8659925114363433,-0.6817154908730161,-0.587921543594669,-0.6457995006116107,-0.6404374980310973,-0.6553686639914911,-0.6345594178008682,-0.8931133821606636,-0.5360679574576872,duke
