name,target_score,avoid_score,total_score,military_score,american_wars_score,revolutionary war_score,war of 1812_score,cold war_score,jackson_score,geopolitics_score,early_america_score,economic_score,decolonization_score,critical_theory_score,social_issues_score,economic_systems_score,cultural_studies_score,environmental_score,migration_score,transnational_score,indigenous_score,african_score,rousseau_score,empire_studies_score,post-wwii_score,1960s_score,islam_score,school
Maira E. Álvarez,0.522597832588252,-0.7031730013930867,-0.1805751688048347,0.46952803343818295,0.3469228325581976,0.49629594523260073,0.4562551088134448,0.5248521617427468,0.3946444673552867,0.5828819428981354,0.6066786662453697,0.6620826587080956,-0.6140887268508475,-0.8024100360495074,-0.9193101264536381,-0.5420080083422363,-0.9202072415500879,-0.6149829938076437,-0.846220812574029,-0.6766395643353462,-0.679526829293796,-0.6559818680165336,-0.5250424356105728,-0.6538838557898998,-0.5335407955572009,-0.6498060971498489,-0.5432426176701832,utAustin
Henry W. Brands,0.5108441787051846,-0.6146448387034865,-0.1038006599983019,0.4717444230985302,0.4299495502773364,0.5068675755202163,0.3947191156088016,0.513398683961067,0.5507427789948204,0.5590695223460596,0.6119383954339557,0.48824914892514554,-0.5434129746711773,-0.6629411970575652,-0.625509174673685,-0.48773943652798024,-0.6644487284301293,-0.6018826334792025,-0.5763694540548482,-0.6527960762558949,-0.5804265636640291,-0.677756909839809,-0.5980614569659035,-0.590868857378761,-0.6593608763915572,-0.6350294444710016,-0.6016145607762184,utAustin
Benjamin Claude Brower,0.5290790491503848,-0.7670397440696712,-0.2379606949192864,0.5690842747688294,0.4380600769155556,0.45986706784135384,0.4637583603461584,0.5248347278684378,0.46094733931557835,0.6443636525954519,0.6470898904403051,0.44396022216727343,-1.0353658832609653,-0.7728268143037955,-0.6809341123120651,-0.6226078930000465,-0.7457609418779612,-0.5492957588285208,-0.6059584200382233,-0.6056865992906847,-0.5748180067166686,-0.9130818136036396,-0.6516488171957041,-1.0034849047660828,-0.5470578480315836,-0.6847086149666991,-0.9631351120769978,utAustin
Erika M. Bsumek,0.5036344234743272,-0.7315181763933122,-0.227883752918985,0.4843867196917549,0.3940661841134231,0.5370754754377736,0.4350526165194584,0.5073980786837637,0.44576216580246786,0.5519817599385393,0.6340175847354389,0.4575457477321228,-0.6264572540918987,-0.8476729672402143,-0.5896162979511752,-0.5333740683272481,-0.715816231071949,-0.9420286044478416,-0.6102548928054816,-0.8742248052731156,-0.9918578453361988,-0.6674839142709971,-0.6202091600000857,-0.5972013153756659,-0.7075425516813993,-0.6600645161233842,-0.5906205460843114,utAustin
Walter L. Buenger,0.4959326531977238,-0.6041887913930332,-0.10825613819530938,0.47749494033484235,0.4264771848648787,0.5482252416129896,0.5409530319273472,0.4940998995069451,0.4514868884977668,0.4989454225383022,0.5364238862735884,0.459245597695311,-0.6098217281202476,-0.6260098511861129,-0.7074489668011665,-0.4978535689413548,-0.7036644831299782,-0.48482966349859324,-0.5823179818689823,-0.5577166328827541,-0.7202882651239634,-0.5207390985451639,-0.4830708145440037,-0.5745118755847216,-0.5795186217874289,-0.6765599615339722,-0.5872282522420089,utAustin
Matthew Butler,0.5360841630017641,-0.677102279508567,-0.14101811650680296,0.47684940523374086,0.3813948308371194,0.7234350978522687,0.4958316532274088,0.5310348649322987,0.44243124878466733,0.5743561588759933,0.6041871212730332,0.4245674691473445,-0.623789431527257,-0.6412944613645475,-0.6739384438842535,-0.6006896166751783,-0.868758509432276,-0.5033129977528006,-0.6286159946272771,-0.6798299372034229,-0.9474436584860086,-0.6340471392963082,-0.5194464684169829,-0.6291135909656684,-0.5389248530513474,-0.7158855307847262,-0.6522608999473354,utAustin
Jorge Cañizares-Esguerra,0.5544973572082953,-0.7388722100566592,-0.18437485284836386,0.49540204383078074,0.48221176648526115,0.6533661358224021,0.4525866991256829,0.5441401679813862,0.6055628486074411,0.5000060160954793,0.6917355289724139,0.44915419047077504,-0.8277378469705582,-0.6853681392967701,-0.7000315003097057,-0.9222895670682192,-0.7987742550671101,-0.5158032185863703,-0.6472539731356151,-0.9096644930541515,-0.6528931567445397,-0.5934945866465569,-0.7010809673617284,-0.971471194177866,-0.5665607282093593,-0.5726216450954478,-0.6234843823203934,utAustin
Adam Clulow,0.5375946428499194,-0.7402977577881673,-0.20270311493824789,0.568312333961328,0.5536551793224336,0.49547828752836937,0.4064982000986735,0.5497438612911437,0.4386517787050633,0.6279408473717539,0.627400416135788,0.47786003698905316,-0.6638396481672924,-0.7603176363778337,-0.655690289568156,-0.5111113925360972,-0.9096740577369928,-0.5320585258305073,-0.6202052881941199,-0.9458080790936947,-0.8438165265728127,-0.7059724913910032,-0.6333919071873266,-0.9541395604610443,-0.6555220341930788,-0.6662397403270006,-0.665886220501529,utAustin
Judith G. Coffin,0.4717611484713902,-0.6973649423327849,-0.22560379386139467,0.49441987910327156,0.4845248141998336,0.637676780665557,0.38885969190938136,0.45274752098180004,0.37899454117649134,0.4232782933046247,0.4426789531253633,0.44045603902389613,-0.5889731136461098,-0.9418895673006773,-0.9003775585442781,-0.49745314644480293,-0.9180082771927118,-0.47022689631142256,-0.511667221401106,-0.4729303400963545,-0.47962725860998034,-0.46301763225346804,-0.6734966831157605,-0.7162824682891369,-0.9184152372181416,-0.6234810544798772,-0.5375959045874577,utAustin
Jonathan Cortez,0.4921620691088377,-0.637711556376191,-0.14554948726735334,0.43107278449278263,0.3418693213296287,0.5965422036075124,0.3754810137616264,0.510065839625895,0.41392820392861784,0.45158272832904855,0.6804531246423722,0.42847468213488665,-0.7018611273169517,-0.6999998966206642,-0.5615521773695946,-0.5415822511538864,-0.6580550248694161,-0.6023668882818046,-0.8579097025096417,-0.6132249140140155,-0.5980604607611895,-0.6805312988348305,-0.5258670415995377,-0.6306962339828412,-0.5526053437164852,-0.6446206496496286,-0.5244557975924441,utAustin
