name,target_score,avoid_score,total_score,military_score,american_wars_score,revolutionary war_score,war of 1812_score,cold war_score,jackson_score,geopolitics_score,early_america_score,economic_score,decolonization_score,critical_theory_score,social_issues_score,economic_systems_score,cultural_studies_score,environmental_score,migration_score,transnational_score,indigenous_score,african_score,rousseau_score,empire_studies_score,post-wwii_score,1960s_score,islam_score,school
Diliana Angelova,0.44832000179841897,-0.6343948622446963,-0.18607486044627736,0.46399353263775506,0.3706346494058768,0.4503996271574706,0.4011960269617183,0.3723497962762439,0.4277813790455218,0.4021491694818863,0.6471757449706396,0.35332632954655724,-0.5880529748445208,-0.6755904382972538,-0.6069877135256927,-0.5232553088239261,-0.5464809470706516,-0.5461158189961377,-0.5324667456692883,-0.4776662157227596,-0.5666735116392374,-0.7248880067840219,-0.4987010333204159,-0.9696312546730042,-0.647291340554754,-0.6627445455108371,-0.6146411869674921,berkeley
Janaki Bakhle,0.5375417037997824,-0.757504057224607,-0.21996235342482462,0.5217923868673873,0.4216518309816482,0.4828863878328879,0.36862502173718176,0.5428546071052551,0.5408929614034313,0.5433514434099197,0.5871132367751957,0.69423813149333,-0.812500198930502,-0.7081869983673095,-0.6616044479703145,-0.5430327539465257,-0.7607093691825867,-0.5529768340797587,-0.6478432236860197,-0.9203735571354628,-0.8792395483363759,-0.7038368383422494,-0.6618638716538178,-0.9626441467553377,-0.5267173945903778,-0.6945832140211549,-0.9330398794263601,berkeley
Andrew E. Barshay,0.5136496423752409,-0.738161918562952,-0.22451227618771108,0.5420901651497474,0.7012853339314461,0.4039596154044072,0.43163729399442674,0.5899085685562074,0.44998067804940667,0.5053984005019372,0.40698148392968714,0.42977444197361675,-0.6418128112412018,-0.7471420110237821,-0.681034141855817,-0.8755823196843266,-0.7981062152733407,-0.45370642302025643,-0.6320174426826484,-0.8710730699822307,-0.5862701494867604,-0.6038323732473972,-0.6249720787196013,-0.9481227789074183,-0.9238500725477934,-0.6656386608961556,-0.6161031496400635,berkeley
Mark Brilliant,0.6032197176560571,-0.6703953244260855,-0.06717560677002843,0.5163353426874315,0.48188573146485825,0.5665660397501654,0.4402019634571942,0.5482400991022587,0.7547104522585869,0.6132381965007101,0.6452161305480533,0.7131878897547722,-0.6576499026268721,-0.7435531409432026,-0.7903635789241109,-0.5662704155676895,-0.6008577053248882,-0.6037221582056108,-0.5916161928325891,-0.703997146897018,-0.583185935082535,-0.6292636302299798,-0.6081031935083293,-0.64763959000508,-0.6832825272743192,-0.9190169740468264,-0.5011470678262413,berkeley
Cathryn Carson,0.6115446111506193,-0.7263944593779775,-0.11484984822735822,0.5761101684619256,0.7856676071882248,0.5939037965490047,0.48328690578540173,0.671426195386244,0.45391295781791813,0.6536027722557386,0.4755792722008586,0.6494119660721884,-0.5625092456862331,-0.7679498621297105,-0.6747317549425416,-0.5973067288479162,-0.853443562053144,-0.5813871507222454,-0.6369994638585731,-0.9206748120486736,-0.6261786311864853,-0.554393812470759,-0.6505918836014137,-0.8763791033998132,-0.9918191395699978,-0.637263946368226,-0.5294213347757857,berkeley
Margaret Chowning,0.5242968056532523,-0.6900996671945815,-0.16580286154132917,0.47367226611467944,0.4175642332310478,0.6357012568735609,0.41202796621175547,0.4468668386801368,0.42867825464768844,0.46139849202707406,0.6329432657029894,0.6475721982773394,-0.7699252996593714,-0.6058194351692994,-0.9388272576034069,-0.5681420200400883,-0.7954579550772906,-0.5668952223760161,-0.5584613044879266,-0.5518490513786674,-0.6557335767018444,-0.632182439416647,-0.6696039137533971,-0.9010891634970903,-0.6101021726305287,-0.6625910528591185,-0.5184456618433749,berkeley
John Connelly,0.6159840628869155,-0.7395850790659069,-0.12360101617899133,0.5678081132409177,0.6462344633178277,0.6370273088867014,0.550575453042984,0.7556866943836212,0.510513651431209,0.7093441687524319,0.6051925415794055,0.4256838087302944,-0.6708874539285898,-0.8132720326107963,-0.7916428843247038,-0.7110119203203603,-0.9193039424717426,-0.4903557870670089,-0.6626082234084606,-0.9073768295347691,-0.7622482853475958,-0.6649136944673956,-0.6616398607741086,-0.706775238737464,-0.6697295531630516,-0.7221585921943188,-0.7223075328752249,berkeley
Thomas James Dandelet,0.5608502957998215,-0.7346488078126936,-0.1737985120128721,0.5584975361824036,0.5127809804394132,0.5075024029885242,0.40740353756007697,0.559915282279253,0.4429077908095687,0.628256875702313,0.6460058048367501,0.6671961691230536,-0.9038926362991333,-0.699666381467666,-0.618555541992897,-0.5422881171107292,-0.9234643280506134,-0.5985522952078927,-0.6399493075030691,-0.8817025572061539,-0.5663625194380681,-0.620708906184882,-0.7251501354906296,-0.9787968657910824,-0.6413313417385023,-0.6422018307176504,-0.6389122188556939,berkeley
Brian DeLay,0.7222387366455814,-0.7848007555333774,-0.062562018887796,0.7572203814983368,0.7349267467856407,0.7893698894315295,0.678187202342919,0.5792411910114335,0.7245792016386986,0.716003181040287,0.8086756259202957,0.6563768667168915,-0.7940912764519453,-0.7710461651009544,-0.8829900687560439,-0.6704491607650044,-0.9323699604719877,-0.5221242236439139,-0.7043257506662294,-0.8980972710996866,-0.9824828915297985,-0.6244029366411269,-0.6984158562910225,-0.9476927220821381,-0.6602245705823104,-0.6902198623865843,-0.6395586037357885,berkeley
Dzovinar Derderian,0.45984195480013224,-0.723493416087635,-0.2636514612875027,0.47849685709391326,0.411484725570782,0.4114756680263948,0.4390264286195475,0.5059325729807218,0.4567549483583432,0.5305207389593124,0.4329280321165998,0.4423408738647899,-0.7447936992954327,-0.664875143630938,-0.6950691541863813,-0.6387564001072731,-0.9246026184409857,-0.5441801895891938,-0.64050466702743,-0.5110996019264514,-0.593562964897822,-0.5826639054963987,-0.6467804271530855,-0.9308171942830086,-0.6436504932741325,-0.7332586456090212,-0.9627788346260786,berkeley
