name,target_score,avoid_score,total_score,military_score,american_wars_score,revolutionary war_score,war of 1812_score,cold war_score,jackson_score,geopolitics_score,early_america_score,economic_score,decolonization_score,critical_theory_score,social_issues_score,economic_systems_score,cultural_studies_score,environmental_score,migration_score,transnational_score,indigenous_score,african_score,rousseau_score,empire_studies_score,post-wwii_score,1960s_score,islam_score,school
Matthew Andrews,0.47379886309670893,-0.5883439196183949,-0.114545056521686,0.48130445714507786,0.3497225390213325,0.5397993259992215,0.2969902472895066,0.32756250629822414,0.5295752001029475,0.49618179529905315,0.5872139680969949,0.46807777484258023,-0.5028057646834189,-0.5973125523464247,-0.860066955909133,-0.6696412606207096,-0.7355123717337847,-0.49565916621525374,-0.5232491303125726,-0.47401837166398764,-0.46971529837076864,-0.626397855207324,-0.5705051429436675,-0.5674384720623493,-0.45818909630179405,-0.4701922356274308,-0.4705581415577659,unc
Karen Auerbach,0.4348024383690472,-0.6164128320695287,-0.1816103937004815,0.43117212419494677,0.41734769940842487,0.3723905836176471,0.3445491814664142,0.5980157446861267,0.38771633790674226,0.430700373119008,0.38645403508681686,0.4444577505191168,-0.594508656782323,-0.617305338382721,-0.6695675524798307,-0.4985806009628707,-0.7286283317953348,-0.4692676519246205,-0.6506966356188059,-0.5072355305945332,-0.4880624774045178,-0.49607686986051064,-0.641922264991478,-0.5144942684099079,-0.9242958966642618,-0.469427688246859,-0.6144777898510969,unc
Cemil Aydin,0.47330504433653625,-0.6421380409493792,-0.16883299661284296,0.40496712156704495,0.5324199971817789,0.35368370240913677,0.4023937145394407,0.46001049044822895,0.37966719760459017,0.6861514036144529,0.4010616411368052,0.4549264793594679,-0.5945373882672617,-0.7579199650359376,-0.5103453385776707,-0.5061033730291659,-0.7528923079371452,-0.49543757271021605,-0.5963034270839258,-1.0071098543703556,-0.5057811357080937,-0.5452123835682869,-0.47406075629923083,-0.6346674263477325,-0.5386890227144415,-0.517029088921845,-0.7153316240448491,unc
William L. Barney,0.47170802064021916,-0.575334267773331,-0.1036262471331118,0.40062851817916134,0.33377996597687404,0.38002762964329834,0.34202142562677984,0.42016260610385375,0.45258920921219725,0.5202581229805946,0.444436696826243,0.7117847852408886,-0.5147753109782934,-0.5729970062041985,-0.5298674343863414,-0.5555867393397623,-0.8925211168825626,-0.4459410170093179,-0.6830870568752289,-0.45986258517950773,-0.5262866520455906,-0.41729520284570754,-0.5808454283646175,-0.5996290586888791,-0.5192687138915062,-0.5111021676411232,-0.488581082051886,unc
W. Fitzhugh Brundage,0.5380908955073951,-0.6207001430918977,-0.08260924758450261,0.602811645018676,0.5104223471363386,0.5893331290689039,0.4403333243301937,0.576984579821743,0.4692321177697989,0.4349950209591124,0.6571014699610797,0.46102125359078255,-0.5751846766268666,-0.6537730792618317,-0.7297057192772627,-0.7134563440555021,-0.5233052828245693,-0.45332603162916546,-0.6352039402350783,-0.46989188157022,-0.5589221604168415,-0.6708418350666762,-0.6714784399342579,-0.6118351221084595,-0.6559080809354783,-0.6770985782146454,-0.5439889825047544,unc
Chad Bryant,0.40264035921385066,-0.622425734630109,-0.2197853754162583,0.4177125167561583,0.3458886479162483,0.37820931465591406,0.29761666400757225,0.4562981156508128,0.41852021061601463,0.4801929988085277,0.3926212697866417,0.37430604639152687,-0.6001171139271363,-0.6341894516802353,-0.5284399811178446,-0.7835964698563603,-0.745196932926774,-0.5045321479609067,-0.6883136577904224,-0.6445480554054182,-0.7048648813118539,-0.578316105529666,-0.5347517688891718,-0.5680921293795109,-0.6022452319210226,-0.4983364486032063,-0.5428995611065459,unc
Marcus Bull,0.4350336024307374,-0.5985643029367679,-0.16353070050603047,0.511004687047357,0.4724232581411813,0.4215414665233005,0.40577003061771394,0.374264845131513,0.43911549389362337,0.4385361504956844,0.4282067135352047,0.39281233502551915,-0.6314679966121912,-0.5658947298811241,-0.5434952184192038,-0.5298460433259606,-0.6301898832122486,-0.5442859630954142,-0.6021757469512522,-0.7567106152160299,-0.6882218416780234,-0.48477942486734765,-0.6587165416578739,-0.639891395966212,-0.5210559385066683,-0.5164237477583811,-0.5263953187635967,unc
Joseph W. Caddell,0.3934210253883233,-0.4541547049022738,-0.06073367951395048,0.42401527146498363,0.40168479190442874,0.3330192477338844,0.3733528485684415,0.4481954620076865,0.27389450319295316,0.42098146085223265,0.3381284103466981,0.45223391590019074,-0.48297514487057924,-0.4283470930531621,-0.3437628029862902,-0.4249024001712149,-0.4721923929018279,-0.392977850756755,-0.49355992089424816,-0.40811815559864045,-0.37828486236847103,-0.4260516129434109,-0.45436137478629296,-0.45987120270729065,-0.6597382153073947,-0.39790661005597366,-0.4236525516025722,unc
Claude A. Clegg III,0.45588145091513055,-0.6564508965213122,-0.20056944560618162,0.4041369710479832,0.39758443546069394,0.5078839217447588,0.3265950182644945,0.4419017178730833,0.4618514368931453,0.4538667828175757,0.5767415372470412,0.4435553911452493,-0.5313223217510515,-0.6764943938188512,-0.5849465877822941,-0.6254920111979128,-0.5450084430298635,-0.5368814961984754,-0.9250154551118612,-0.5659006249159575,-0.5345463978126646,-0.8879222925752401,-0.6078715534099648,-0.5813984805718064,-0.6664546254006299,-0.7215016055852175,-0.49791302738179055,unc
Peter A. Coclanis,0.5089500859585872,-0.6025937710187788,-0.0936436850601916,0.3878414727889356,0.4540065891976943,0.381139983235671,0.3735830602521852,0.42655713900047193,0.42510330236189064,0.6251344491328512,0.39533998244816293,0.7827081173658371,-0.5725307294300624,-0.5553505941933278,-0.5714865212018292,-0.5516199206135103,-0.7453797064721585,-0.5411853784074385,-0.5504892911652433,-0.9202368296682835,-0.48327614908868616,-0.5672158577168982,-0.5381186865565981,-0.5947037413716316,-0.5362374484539032,-0.5244108913466334,-0.49366131398294655,unc
