name,target_score,avoid_score,total_score,military_score,american_wars_score,geopolitics_score,early_america_score,science_tech_score,political_thought_score,economic_score,decolonization_score,critical_theory_score,social_issues_score,economic_systems_score,cultural_studies_score,environmental_score,migration_score
Paul D. Halliday,0.7682510600476231,-0.720767618318683,0.047483441728940146,0.7465285680086795,0.6967115800048665,0.7718584125345969,0.8093005883064901,0.6660328938015856,0.9460015232269605,0.6625747125924412,-0.664693090870595,-0.7935542493685932,-0.757079526019978,-0.6662022431735174,-0.791598591262499,-0.6470892985066827,-0.6918291709281436
Claudrena N. Harold,0.7738397679085633,-0.8201712595295875,-0.04633149162102412,0.7210806179138856,0.7348534835225525,0.7860907264385826,0.794777985902355,0.6770989037937337,0.689362314189939,0.9471581461153575,-0.7116470624232063,-0.809325322027395,-0.9432357680698021,-0.8103634287648096,-0.9490052405045124,-0.7426290549613739,-0.6953382788391037
Justene Hill Edwards,0.8111443509383571,-0.825113001091963,-0.013968650153605822,0.7670247503257795,0.7549417090016431,0.7927204032491336,0.9380090043001742,0.7365925555360118,0.6754341244169864,0.9374949154363562,-0.7860530064002959,-0.8721676201116249,-0.9229021447047041,-0.9374850579801907,-0.7842938782775476,-0.7079673425656211,-0.6940154342791712
William Hitchcock,0.8254438461099918,-0.7803085569450231,0.04513528916496867,0.9448529452397267,0.947752302138242,0.8294693017982321,0.8047001105182996,0.7201588028273684,0.6528482117448332,0.7914717380749717,-0.7580886710102123,-0.7921610894515214,-0.7754486832022187,-0.7568012168190454,-0.9356077874952836,-0.6478363173580672,-0.7390898232409722
Caroline Janney,0.7644667986458382,-0.7366098889120867,0.027856909733751545,0.9373975295658239,0.7397371025436283,0.7402978644039722,0.7841716403279039,0.7749744626089052,0.5624239761121831,0.7142300771529553,-0.7157406382699841,-0.6733941348656503,-0.9083079225607786,-0.6573379672161902,-0.749053651719436,-0.7269267501297578,-0.6633070921420383
Andrew Kahrl,0.7712784310800382,-0.8228047001921469,-0.05152626911210867,0.6898528093830205,0.6632727203726178,0.8193901424323586,0.7694121080550629,0.8333559027344574,0.9228540813684558,0.6022619626904218,-0.7142419585678565,-0.6852620507435191,-0.9230044607392895,-0.9256264301610397,-0.7876682547974674,-0.9191616504553777,-0.7155300030291318
S. Deborah Kang,0.7601541033872379,-0.7608994439536518,-0.0007453405664139545,0.7471328777788677,0.6588974126459431,0.723563017723786,0.8205986494197011,0.7181641928595824,0.9364234779099605,0.6308220127911487,-0.715723507623239,-0.7312183043812208,-0.784249626636608,-0.6985866020753543,-0.7731344031998295,-0.6644409885732876,-0.9083030075303908
Paul Kershaw,0.7501373351601429,-0.7499553533465206,0.0001819818136222784,0.6705618431215739,0.7152471272923755,0.8301323614508017,0.7453784092688928,0.6744176091330123,0.9212894390846018,0.5975967472855528,-0.6991608286961302,-0.7812024702349047,-0.6804811460740268,-0.654130832626441,-0.7667092002720312,-0.7258913306316399,-0.8910122430089733
Thomas Klubock,0.8325923882483239,-0.8604808615930216,-0.027888473344697684,0.9340851427975143,0.7723015190037527,0.8403500226455553,0.8509497014938836,0.7396836987217787,0.9283590783806335,0.7039405326215032,-0.6770503535336367,-0.803521996876645,-0.9373250637851389,-0.9398267991990215,-0.938721725100691,-0.9308933957439048,-0.6938193045028147
Kyrill Kunakhovich,0.7561021139262091,-0.7594394944353844,-0.003337380509175314,0.7851046328760843,0.7794162224049849,0.835567631222827,0.8008585794406698,0.6727043889862874,0.7456913014656146,0.6302494902780519,-0.6686801194756082,-0.7627783684885575,-0.7752065259588152,-0.6325333122404562,-0.9438685608415613,-0.6520725167003163,-0.7875348954742063
James La Fleur,0.6186822290666255,-0.7224623483098219,-0.10378011924319641,0.6143697221562918,0.5645365676915712,0.6203036467963547,0.8292382907096685,0.57115150811125,0.4958112505479521,0.5127366433081049,-0.5733012169525012,-0.5985598808534186,-0.5945488287546252,-0.5991914215694464,-0.564384110091918,-0.9286678385740545,-0.9424363181355399
Erin Lambert,0.708150023273718,-0.7345366402592394,-0.02638661698552136,0.6930684568488727,0.7665075078210426,0.6878310035377443,0.7781236980652251,0.739425495058502,0.6426439771006206,0.6178728201201362,-0.6334900792234546,-0.7257202932861635,-0.6810705761946364,-0.6398148229067312,-0.9364143623893666,-0.7114018785030198,-0.7274512114706633
J. E. Lendon,0.6211780744809923,-0.6323807718887083,-0.011202697407716067,0.656887255274945,0.6736093359615719,0.623771680505737,0.596552651256318,0.6183615139528709,0.5929982095372133,0.5736769743981978,-0.5835900788394729,-0.614679082455702,-0.7094673143176494,-0.6626522146266218,-0.613011039557937,-0.636071750268641,-0.5884169361959316
Erik Linstrum,0.7723473375867183,-0.8103967227242554,-0.038049385137537195,0.8110994296396925,0.6973409507839554,0.7628274947669844,0.7931534190961724,0.931694887561962,0.7250912051714652,0.6019620357284513,-0.9472196098256472,-0.7955010657355472,-0.7798504535556935,-0.6830000473168232,-0.9355183632903942,-0.7272726532120369,-0.7224799850131252
